公告,#genre#
湖北卫视,http://115.203.246.67:58888/rtp/233.50.200.147:5140
湖北卫视,http://125.123.146.241:4022/rtp/233.50.200.147:5140
广东卫视,http://125.123.123.125:4022/rtp/233.50.200.149:5140
广东卫视,http://115.203.246.67:58888/rtp/233.50.200.149:5140
广东卫视,http://125.123.146.241:4022/rtp/233.50.200.149:5140
北京卫视,http://125.123.123.125:4022/rtp/233.50.200.179:5140
北京卫视,http://115.203.246.67:58888/rtp/233.50.200.179:5140
北京卫视,http://125.123.146.241:4022/rtp/233.50.200.179:5140
深圳卫视,http://125.123.123.125:4022/rtp/233.50.200.188:5140
深圳卫视,http://115.203.246.67:58888/rtp/233.50.200.188:5140
深圳卫视,http://125.123.146.241:4022/rtp/233.50.200.188:5140
黑龙江卫视,http://125.123.123.125:4022/rtp/233.50.200.189:5140
黑龙江卫视,http://115.203.246.67:58888/rtp/233.50.200.189:5140
黑龙江卫视,http://125.123.146.241:4022/rtp/233.50.200.189:5140
湖南卫视,http://125.123.123.125:4022/rtp/233.50.200.190:5140
湖南卫视,http://115.203.246.67:58888/rtp/233.50.200.190:5140
湖南卫视,http://125.123.146.241:4022/rtp/233.50.200.190:5140
山东卫视,http://125.123.123.125:4022/rtp/233.50.201.105:5140
山东卫视,http://115.203.246.67:58888/rtp/233.50.201.105:5140
山东卫视,http://125.123.146.241:4022/rtp/233.50.201.105:5140
辽宁卫视,http://125.123.123.125:4022/rtp/233.50.201.141:5140
辽宁卫视,http://115.203.246.67:58888/rtp/233.50.201.141:5140
辽宁卫视,http://125.123.146.241:4022/rtp/233.50.201.141:5140
贵州卫视,http://125.123.123.125:4022/rtp/233.50.201.142:5140
贵州卫视,http://115.203.246.67:58888/rtp/233.50.201.142:5140
贵州卫视,http://125.123.146.241:4022/rtp/233.50.201.142:5140
河南卫视,http://125.123.123.125:4022/rtp/233.50.201.144:5140
河南卫视,http://115.203.246.67:58888/rtp/233.50.201.144:5140
河南卫视,http://125.123.146.241:4022/rtp/233.50.201.144:5140
东南卫视,http://125.123.123.125:4022/rtp/233.50.201.146:5140
东南卫视,http://115.203.246.67:58888/rtp/233.50.201.146:5140
东南卫视,http://125.123.146.241:4022/rtp/233.50.201.146:5140
吉林卫视,http://123.112.212.112:4022/rtp/239.3.1.240:8172
吉林卫视,http://114.254.21.167:4022/rtp/239.3.1.240:8172
吉林卫视,http://123.113.96.173:4022/rtp/239.3.1.240:8172
广西卫视,http://180.154.48.93:4022/rtp/239.45.0.5:5140
广西卫视,http://180.165.6.228:4022/rtp/239.45.0.5:5140
青海卫视,http://180.154.48.93:4022/rtp/239.45.0.37:5140
青海卫视,http://180.165.6.228:4022/rtp/239.45.0.37:5140
甘肃卫视,http://180.154.48.93:4022/rtp/239.45.0.15:5140
甘肃卫视,http://180.165.6.228:4022/rtp/239.45.0.15:5140
海南卫视,http://180.154.48.93:4022/rtp/239.45.1.81:5140
海南卫视,http://180.165.6.228:4022/rtp/239.45.1.81:5140
三沙卫视,http://180.154.48.93:4022/rtp/239.45.0.56:5140
三沙卫视,http://180.165.6.228:4022/rtp/239.45.0.56:5140
动漫秀场,http://125.123.123.125:4022/rtp/233.50.200.12:5140
动漫秀场,http://115.203.246.67:58888/rtp/233.50.200.12:5140
动漫秀场,http://125.123.146.241:4022/rtp/233.50.200.12:5140
游戏风云,http://125.123.123.125:4022/rtp/233.50.200.14:5140
游戏风云,http://115.203.246.67:58888/rtp/233.50.200.14:5140
游戏风云,http://125.123.146.241:4022/rtp/233.50.200.14:5140
生活时尚,http://125.123.123.125:4022/rtp/233.50.200.15:5140
生活时尚,http://115.203.246.67:58888/rtp/233.50.200.15:5140
生活时尚,http://125.123.146.241:4022/rtp/233.50.200.15:5140
法治天地,http://125.123.123.125:4022/rtp/233.50.200.120:5140
法治天地,http://115.203.246.67:58888/rtp/233.50.200.120:5140
法治天地,http://125.123.146.241:4022/rtp/233.50.200.120:5140
